ano,turno,sigla_uf,id_municipio,id_municipio_tse,zona,secao,tipo_secao_agregada,numero,nome,tipo,endereco,bairro,cep,telefone,latitude,longitude,situacao,situacao_zona,situacao_secao,situacao_localidade,situacao_secao_acessibilidade,quantidade_eleitores,quantidade_eleitores_eleicao
2022,1,PB,2507507,20516,70,456,principal,1937,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL DAURA SANTIAGO RANGEL,convencional,RUA BENÍCIO DE OLIVEIRA LIMA S/N,JOSE AMERICO DE ALMEIDA,58073030,,-7.16759157,-34.85510789,ativo,ativo,ativo,ativo,sem acessibilidade,380,394
2022,2,PB,2507507,20516,1,75,principal,1236,ESC. ESTADUAL PADRE HILDON BANDEIRA,convencional,RUA CAETANO FILGUEIRAS S/N - TORRE - JOÃO PESSOA,TORRE,58040390,,-7.12129989,-34.86064169,ativo,ativo,ativo,ativo,sem acessibilidade,281,396
2022,2,PB,2507507,20516,1,212,principal,1554,ESC. MUNICIPAL SENADOR RUI CARNEIRO,convencional,"RUA JOÃO DE BRITO, 180 - MANDACARU - JOÃO PESSOA",MANDACARU,58027070,,-7.10224818,-34.86461358,ativo,ativo,ativo,ativo,sem acessibilidade,412,413
2022,2,PB,2507507,20516,70,653,principal,2089,ESCOLA MUNICIPAL PROF. AFONSO PEREIRA DA SILVA,convencional,RUA VALDEVINO LOBO S/N,MANGABEIRA VIII,58059744,986205859,,,ativo,ativo,ativo,ativo,sem acessibilidade,393,393
2022,1,PB,2507507,20516,64,305,principal,1783,ESCOLA MUNICIPAL EDUCADOR FRANCISCO PEREIRA DA NOBREGA,convencional,"AV. ELIAS CAVALCANTI DE ALBUQUERQUE, S/N",CRISTO REDENTOR,58070400,83988871628,-7.16567517,-34.88111559,ativo,ativo,ativo,ativo,com acessibilidade,336,365
2022,1,PB,2507507,20516,64,270,principal,1422,ESCOLA MUNICIPAL APOLONIO SALES DE MIRANDA,convencional,"RUA ENGENHEIRO RETUMBA, 240",CRUZ DAS ARMAS,58085610,8332185517,-7.14725804,-34.89047789,bloqueado,ativo,ativo,ativo,sem acessibilidade,390,390
2022,2,PB,2507507,20516,76,56,principal,1139,ESCOLA ESTADUAL DE 1 GRAU PE ROMA,convencional,R  EMILIO ARAUJO CHAVES S/N,ALTIPLANO CABO BRANCO,00000000,,-7.13452523,-34.82805742,ativo,ativo,ativo,ativo,com acessibilidade,353,392
2022,1,PB,2507507,20516,1,73,principal,1236,ESC. ESTADUAL PADRE HILDON BANDEIRA,convencional,RUA CAETANO FILGUEIRAS S/N - TORRE - JOÃO PESSOA,TORRE,58040390,,-7.12129989,-34.86064169,ativo,ativo,ativo,ativo,sem acessibilidade,283,390
2022,1,PB,2507507,20516,64,73,principal,1040,E. E E. FUNDAMENTAL/MÉDIO PROF. PEDRO AUGUSTO PORTO CAMINHA EEPAC,convencional,"RUA ANUBIO LINS FALCAO, S/N",JAGUARIBE,58015480,8332184344,-7.13786905,-34.87518644,ativo,ativo,ativo,ativo,com acessibilidade,306,392
2022,2,PB,2507507,20516,1,142,principal,1422,ESC. MUNICIPAL FRANCISCA MOURA,convencional,"RUA SILVINO SANTOS, 27 - MANDACARU - JOÃO PESSOA",MANDACARU,58027470,,-7.10115561,-34.86139261,ativo,ativo,ativo,ativo,sem acessibilidade,373,397
2022,2,PB,2507507,20516,64,466,principal,1996,ESCOLA MUNICIPAL FRUTUOSO BARBOSA,convencional,"RUA LOPO GARRO, 2OO",ILHA DO BISPO,58011380,83987408077,-7.12469722,-34.89997801,ativo,ativo,ativo,ativo,sem acessibilidade,242,361
2022,2,PB,2507507,20516,64,133,principal,1333,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL PADRE MIGUELINHO,convencional,"AV. DA FRATERNIDADE, S/N",CRISTO REDENTOR,58070310,8332237623,-7.1549563,-34.88418296,ativo,ativo,ativo,ativo,com acessibilidade,395,406
2022,2,PB,2507507,20516,64,383,principal,1350,ESCOLA MUNICIPAL AUGUSTO DOS ANJOS,convencional,"RUA OLÍVIA MARTINS DE ALMEIDA GUERRA, 391",CRISTO REDENTOR,58071430,83999241240,-7.16044759,-34.87743387,ativo,ativo,ativo,ativo,sem acessibilidade,440,439
2022,1,PB,2507507,20516,76,396,principal,1872,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA - UNIPÊ,convencional,"RODOVIA BR-230,KM 22, S/N - ÁGUA FRIA, JOÃO PESSOA",BANCARIOS,58053002,21069200,-7.1579739,-34.8580379,bloqueado,ativo,ativo,ativo,sem acessibilidade,398,398
2022,1,PB,2507507,20516,64,136,principal,1597,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL AMÉRICO FALCÃO,convencional,"RUA DOM BOSCO, 557",CRISTO REDENTOR,58070470,8332233583,-7.15307803,-34.87848939,ativo,ativo,ativo,ativo,com acessibilidade,388,389
2022,1,PB,2507507,20516,77,228,distribuida de oficio,1031,ESCOLA EST DE 1 GRAU HENRIQUE DIAS,convencional,R CARLOS BORROMEU RIBEIRO S/N,ALTO DO MATEUS,58071060,83988637315,-7.1427803,-34.91338058,ativo,ativo,ativo,ativo,sem acessibilidade,342,0
2022,1,PB,2507507,20516,76,264,principal,1589,COLEGIO COLIBRI-ATHENAS - ESQUINA COM RUA SÃO GONÇALO,convencional,"R.SÃO GONÇALO 952, ESQUINA COM RUA VIGOLVINO FLORENTINO DA COSTA",MANAIRA,58038331,32475950,-7.1052485,-34.83988378,ativo,ativo,ativo,ativo,com acessibilidade,395,390
2022,1,PB,2507507,20516,64,10,principal,1759,SERVICO SOCIAL DA INDUSTRIA - SESI,convencional,"RUA RODRIGUES CHAVES, 90",CENTRO,58011040,8335335585,-7.12340256,-34.88597688,ativo,ativo,ativo,ativo,sem acessibilidade,148,148
2022,1,PB,2507507,20516,70,646,principal,2054,CRECHE MARIA DE FÁTIMA,convencional,RUA JOAQUIM BARBOSA S/N,JOSE AMERICO DE ALMEIDA,58076190,8332145446,-7.16789141,-34.85420375,bloqueado,ativo,ativo,ativo,sem acessibilidade,390,388
2022,2,PB,2507507,20516,76,264,principal,1589,COLEGIO COLIBRI-ATHENAS - ESQUINA COM RUA SÃO GONÇALO,convencional,"R.SÃO GONÇALO 952, ESQUINA COM RUA VIGOLVINO FLORENTINO DA COSTA",MANAIRA,58038331,32475950,-7.1052485,-34.83988378,ativo,ativo,ativo,ativo,com acessibilidade,395,388
2022,1,PB,2507507,20516,1,166,principal,1473,ESC ESTADUAL DES BOTTO DE MENEZES,convencional,RUA PROFESSORA RITA MIRANDA 318 - TREZE DE MAIO - JOÃO PESSOA,TREZE DE MAIO,58025280,,-7.11155475,-34.86294449,ativo,ativo,ativo,ativo,com acessibilidade,416,415
2022,1,PB,2507507,20516,76,53,principal,1139,ESCOLA ESTADUAL DE 1 GRAU PE ROMA,convencional,R  EMILIO ARAUJO CHAVES S/N,ALTIPLANO CABO BRANCO,00000000,,-7.13452523,-34.82805742,ativo,ativo,ativo,ativo,com acessibilidade,353,395
2022,1,PB,2507507,20516,1,143,principal,1430,CENTRO SOCIAL URBANO MONSENHOR JOSE COUTINHO,convencional,"RUA PROFA MARIA ESTER BEZERRA MESQUITA, S/N - IPÊS - JOÃO PESSOA",IPES,58028700,,-7.10040119,-34.85810985,ativo,ativo,ativo,ativo,com acessibilidade,393,401
2022,2,PB,2507507,20516,76,123,principal,1694,CENTRO DE EDUCAÇAO CARL ROGERS,convencional,"RUA REGINALDO AMARAL MURIBECA, 65",BANCARIOS,58051620,32141784,-7.1515459,-34.8375376,ativo,ativo,ativo,ativo,com acessibilidade,376,373
2022,1,PB,2507507,20516,76,395,principal,1872,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA - UNIPÊ,convencional,"RODOVIA BR-230,KM 22, S/N - ÁGUA FRIA, JOÃO PESSOA",BANCARIOS,58053002,21069200,-7.1579739,-34.8580379,bloqueado,ativo,ativo,ativo,sem acessibilidade,405,403
2022,1,PB,2507507,20516,64,152,principal,1376,ESCOLA ESTADUAL DE 1. GRAU FREI MARTINHO,convencional,"AV. DESEMBARGADOR NOVAIS, S/N",CRUZ DAS ARMAS,58085450,,-7.14277267,-34.889875,ativo,ativo,ativo,ativo,com acessibilidade,333,392
2022,1,PB,2507507,20516,77,159,distribuida de oficio,1317,ESCOLA MUNICIPAL PROF. PAULO FREIRE - CJ NOVA TRINDADE,convencional,RUA PROJETADA Q-1 L-2- CONJ. NOVA TRINDADE,JARDIM VENEZA,58000000,,-7.1598331,-34.9097714,ativo,ativo,ativo,ativo,sem acessibilidade,326,0
2022,2,PB,2507507,20516,76,55,principal,1139,ESCOLA ESTADUAL DE 1 GRAU PE ROMA,convencional,R  EMILIO ARAUJO CHAVES S/N,ALTIPLANO CABO BRANCO,00000000,,-7.13452523,-34.82805742,ativo,ativo,ativo,ativo,com acessibilidade,353,391
2022,2,PB,2507507,20516,64,386,principal,1783,ESCOLA MUNICIPAL EDUCADOR FRANCISCO PEREIRA DA NOBREGA,convencional,"AV. ELIAS CAVALCANTI DE ALBUQUERQUE, S/N",CRISTO REDENTOR,58070400,83988871628,-7.16567517,-34.88111559,ativo,ativo,ativo,ativo,com acessibilidade,344,361
2022,1,PB,2507507,20516,77,126,principal,1236,COLÉGIO EXITTUS - SANTA BÁRBARA,convencional,"RUA DR. ABILIO PAIVA, 16",ERNANI SATIRO,00000000,,-7.17530122,-34.89171876,ativo,ativo,ativo,ativo,sem acessibilidade,323,322
2022,1,PB,2507507,20516,70,436,distribuida de oficio,1791,ESCOLA ESTADUAL BORGES DA FONSECA,convencional,"AV. CEL. CALIXTO, S/N, COLONIA AGRICOLA DE MANGABEIRA",MANGABEIRA VIII,58000000,,-7.18090353,-34.83483189,bloqueado,ativo,ativo,ativo,com acessibilidade,211,0
2022,1,PB,2507507,20516,77,42,principal,1090,ESCOLA MUNICIPAL DR. JOSE NOVAIS,convencional,"R. SANTOS ESTANISLAU,322",NOVAIS,58000000,,-7.15427676,-34.89824256,ativo,ativo,ativo,ativo,sem acessibilidade,241,307
2022,1,PB,2507507,20516,1,60,principal,1210,ESC. ESTADUAL PROF RAUL CORDULA,convencional,RUA FRANCISCO MARTINS DE OLIVEIRA S/N - TORRE - JOÃO PESSOA,TORRE,58040810,,-7.13090942,-34.85802026,ativo,ativo,ativo,ativo,com acessibilidade,390,399
2022,1,PB,2507507,20516,1,161,distribuida de oficio,1465,ESC DE EDUCAÇÃO ESPECIAL AUDIO COMUNICAÇÃO,convencional,AV FRANCISCO MOURA S/N - TREZE DE MAIO - JOÃO PESSOA,TREZE DE MAIO,58025650,,-7.10691923,-34.86809296,ativo,ativo,ativo,ativo,com acessibilidade,325,0
2022,1,PB,2507507,20516,76,350,principal,1139,ESCOLA ESTADUAL DE 1 GRAU PE ROMA,convencional,R  EMILIO ARAUJO CHAVES S/N,ALTIPLANO CABO BRANCO,00000000,,-7.13452523,-34.82805742,ativo,ativo,ativo,ativo,com acessibilidade,355,397
2022,1,PB,2507507,20516,70,426,principal,1791,ESCOLA ESTADUAL BORGES DA FONSECA,convencional,"AV. CEL. CALIXTO, S/N, COLONIA AGRICOLA DE MANGABEIRA",MANGABEIRA VIII,58000000,,-7.18090353,-34.83483189,bloqueado,ativo,ativo,ativo,sem acessibilidade,253,335
2022,1,PB,2507507,20516,70,445,principal,1937,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL DAURA SANTIAGO RANGEL,convencional,RUA BENÍCIO DE OLIVEIRA LIMA S/N,JOSE AMERICO DE ALMEIDA,58073030,,-7.16759157,-34.85510789,ativo,ativo,ativo,ativo,sem acessibilidade,383,381
2022,2,PB,2507507,20516,70,426,principal,1791,ESCOLA ESTADUAL BORGES DA FONSECA,convencional,"AV. CEL. CALIXTO, S/N, COLONIA AGRICOLA DE MANGABEIRA",MANGABEIRA VIII,58000000,,-7.18090353,-34.83483189,bloqueado,ativo,ativo,ativo,sem acessibilidade,253,335
2022,2,PB,2507507,20516,76,386,principal,1872,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA - UNIPÊ,convencional,"RODOVIA BR-230,KM 22, S/N - ÁGUA FRIA, JOÃO PESSOA",BANCARIOS,58053002,21069200,-7.1579739,-34.8580379,bloqueado,ativo,ativo,ativo,sem acessibilidade,404,404
2022,1,PB,2507507,20516,64,462,principal,1996,ESCOLA MUNICIPAL FRUTUOSO BARBOSA,convencional,"RUA LOPO GARRO, 2OO",ILHA DO BISPO,58011380,83987408077,-7.12469722,-34.89997801,ativo,ativo,ativo,ativo,com acessibilidade,242,365
2022,1,PB,2507507,20516,1,11,principal,1066,FACULDADE DE DIREITO,convencional,PRAÇA JOÃO PESSOA S/N - CENTRO - JOÃO PESSOA,CENTRO,58013140,,-7.12120296,-34.88426576,ativo,ativo,ativo,ativo,sem acessibilidade,173,264
2022,2,PB,2507507,20516,1,121,principal,1368,ESC. MUNICIPAL GENERAL RODRIGO OTAVIO (GPTE),convencional,"AV MATO GROSSO, 988 - ESTADOS - JOÃO PESSOA",ESTADOS,58030080,,-7.11564405,-34.85214415,ativo,ativo,ativo,ativo,sem acessibilidade,332,404
2022,2,PB,2507507,20516,76,258,principal,1589,COLEGIO COLIBRI-ATHENAS - ESQUINA COM RUA SÃO GONÇALO,convencional,"R.SÃO GONÇALO 952, ESQUINA COM RUA VIGOLVINO FLORENTINO DA COSTA",MANAIRA,58038331,32475950,-7.1052485,-34.83988378,ativo,ativo,ativo,ativo,com acessibilidade,389,396
2022,2,PB,2507507,20516,70,642,principal,2089,ESCOLA MUNICIPAL PROF. AFONSO PEREIRA DA SILVA,convencional,RUA VALDEVINO LOBO S/N,MANGABEIRA VIII,58059744,986205859,,,ativo,ativo,ativo,ativo,sem acessibilidade,390,394
2022,2,PB,2507507,20516,77,44,principal,1090,ESCOLA MUNICIPAL DR. JOSE NOVAIS,convencional,"R. SANTOS ESTANISLAU,322",NOVAIS,58000000,,-7.15427676,-34.89824256,ativo,ativo,ativo,ativo,sem acessibilidade,240,307
2022,1,PB,2507507,20516,64,381,principal,1376,ESCOLA ESTADUAL DE 1. GRAU FREI MARTINHO,convencional,"AV. DESEMBARGADOR NOVAIS, S/N",CRUZ DAS ARMAS,58085450,,-7.14277267,-34.889875,ativo,ativo,ativo,ativo,com acessibilidade,334,387
2022,1,PB,2507507,20516,77,12,principal,1031,ESCOLA EST DE 1 GRAU HENRIQUE DIAS,convencional,R CARLOS BORROMEU RIBEIRO S/N,ALTO DO MATEUS,58071060,83988637315,-7.1427803,-34.91338058,ativo,ativo,ativo,ativo,com acessibilidade,346,404
2022,1,PB,2507507,20516,77,38,principal,1082,ESCOLA ESTADUAL OTAVIO NOVAIS,convencional,DESEMBARGADOR SANTOS ESTANISLAU S/N,NOVAIS,58088540,,-7.15779697,-34.90592861,ativo,ativo,ativo,ativo,sem acessibilidade,321,373
2022,1,PB,2507507,20516,1,229,principal,1198,ESC MUNICIPAL FREI AFONSO,convencional,RUA CORDEIRO SENIOR 250 - ROGER,ROGER,58020020,,-7.11003206,-34.8839959,bloqueado,ativo,ativo,ativo,sem acessibilidade,378,377
2022,2,PB,2507507,20516,76,291,principal,1589,COLEGIO COLIBRI-ATHENAS - ESQUINA COM RUA SÃO GONÇALO,convencional,"R.SÃO GONÇALO 952, ESQUINA COM RUA VIGOLVINO FLORENTINO DA COSTA",MANAIRA,58038331,32475950,-7.1052485,-34.83988378,ativo,ativo,ativo,ativo,com acessibilidade,392,392
2022,1,PB,2507507,20516,64,447,principal,1970,ESCOLA ESTADUAL MILTON CAMPOS,convencional,RUA SEVERINA MARIA DE VASCONCELOS CARVALHO S/N,ERNESTO GEISEL,58077156,8332189180,-7.18317083,-34.8656533,bloqueado,ativo,ativo,ativo,sem acessibilidade,389,389
2022,2,PB,2507507,20516,1,90,principal,1201,COLÉGIO NOSSA SENHORA DE LOURDES (LOURDINAS),convencional,"AV PRESIDENTE EPITACIO PESSOA, 208 - TORRE - JOÃO PESSOA",TORRE,58040000,,-7.12021542,-34.8685953,ativo,ativo,ativo,ativo,sem acessibilidade,391,396
2022,1,PB,2507507,20516,64,329,principal,1783,ESCOLA MUNICIPAL EDUCADOR FRANCISCO PEREIRA DA NOBREGA,convencional,"AV. ELIAS CAVALCANTI DE ALBUQUERQUE, S/N",CRISTO REDENTOR,58070400,83988871628,-7.16567517,-34.88111559,ativo,ativo,ativo,ativo,com acessibilidade,340,363
2022,1,PB,2507507,20516,1,25,principal,1112,LYCEU PARAIBANO,convencional,AV PRESIDENTE GETULIO VARGAS S/N - CENTRO - JOÃO PESSOA,CENTRO,58013240,,-7.12101229,-34.87618357,ativo,ativo,ativo,ativo,sem acessibilidade,306,420
2022,2,PB,2507507,20516,1,24,principal,1112,LYCEU PARAIBANO,convencional,AV PRESIDENTE GETULIO VARGAS S/N - CENTRO - JOÃO PESSOA,CENTRO,58013240,,-7.12101229,-34.87618357,ativo,ativo,ativo,ativo,sem acessibilidade,306,417
2022,1,PB,2507507,20516,77,218,distribuida de oficio,1554,ESCOLA MUNICIPAL ANTONIO NOMINANDO DINIZ,convencional,"RUA JOSÉ RODRIGUES DE PAIVA, S/N",GROTAO,58079810,,-7.1861338,-34.8807204,ativo,ativo,ativo,ativo,sem acessibilidade,252,0
2022,2,PB,2507507,20516,64,287,principal,1767,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LEONIDAS SANTIAGO,convencional,"RUA CÔNEGO VICENTE PIMENTEL, 365",RANGEL,58070030,8332189371,-7.14412908,-34.87617346,ativo,ativo,ativo,ativo,com acessibilidade,289,291
2022,1,PB,2507507,20516,64,326,principal,1724,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PADRE PEDRO SERRÃO,convencional,"RUA DOM BOSCO, 577",CRISTO REDENTOR,58070470,8332186726,-7.1537799,-34.87784299,ativo,ativo,ativo,ativo,com acessibilidade,342,352
2022,2,PB,2507507,20516,64,139,principal,1597,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL AMÉRICO FALCÃO,convencional,"RUA DOM BOSCO, 557",CRISTO REDENTOR,58070470,8332233583,-7.15307803,-34.87848939,ativo,ativo,ativo,ativo,com acessibilidade,387,458
2022,2,PB,2507507,20516,70,646,principal,2054,CRECHE MARIA DE FÁTIMA,convencional,RUA JOAQUIM BARBOSA S/N,JOSE AMERICO DE ALMEIDA,58076190,8332145446,-7.16789141,-34.85420375,bloqueado,ativo,ativo,ativo,sem acessibilidade,390,388
2022,2,PB,2507507,20516,64,472,agregada,1295,CENTRO DA JUVENTUDE REUBEN RAMALHO,convencional,"RUA ELIAS CAVALCANTI DE ALBUQUERQUE, S/N",RANGEL,58070400,8332237552,-7.14900548,-34.87438103,ativo,ativo,ativo,ativo,sem acessibilidade,78,0
2022,2,PB,2507507,20516,64,295,principal,1767,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LEONIDAS SANTIAGO,convencional,"RUA CÔNEGO VICENTE PIMENTEL, 365",RANGEL,58070030,8332189371,-7.14412908,-34.87617346,ativo,ativo,ativo,ativo,com acessibilidade,290,296
2022,1,PB,2507507,20516,70,223,distribuida de oficio,1546,ESCOLA EST DE 1 GRAU PROF TERCIA BONAVIDES LINS,convencional,"RUA VEREADOR FRANCISCO LEITE CAVALCANTE ,315",VALENTINA DE FIGUEIREDO I,58000000,,-7.19944946,-34.83917541,ativo,ativo,ativo,ativo,sem acessibilidade,282,0
2022,2,PB,2507507,20516,64,404,principal,1929,ESCOLA MUNICIPAL JOSÉ PEREGRINO DE CARVALHO,convencional,"RUA CARNEIRO CAMPOS, SN",ILHA DO BISPO,58011440,83988109973,-7.1268664,-34.89965742,ativo,ativo,ativo,ativo,com acessibilidade,214,398
2022,2,PB,2507507,20516,1,91,principal,1201,COLÉGIO NOSSA SENHORA DE LOURDES (LOURDINAS),convencional,"AV PRESIDENTE EPITACIO PESSOA, 208 - TORRE - JOÃO PESSOA",TORRE,58040000,,-7.12021542,-34.8685953,ativo,ativo,ativo,ativo,sem acessibilidade,391,395
2022,2,PB,2507507,20516,1,131,principal,1406,ESC. ESTADUAL MONS ODILON COUTINHO,convencional,RUA CELERINA  PAIVA S/N - MANDACARU - JOÃO PESSOA,MANDACARU,58027390,,-7.1044193,-34.8626877,ativo,ativo,ativo,ativo,sem acessibilidade,388,388
2022,2,PB,2507507,20516,77,151,principal,1317,ESCOLA MUNICIPAL PROF. PAULO FREIRE - CJ NOVA TRINDADE,convencional,RUA PROJETADA Q-1 L-2- CONJ. NOVA TRINDADE,JARDIM VENEZA,58000000,,-7.1598331,-34.9097714,ativo,ativo,ativo,ativo,com acessibilidade,350,414
2022,2,PB,2507507,20516,1,123,distribuida de oficio,1368,ESC. MUNICIPAL GENERAL RODRIGO OTAVIO (GPTE),convencional,"AV MATO GROSSO, 988 - ESTADOS - JOÃO PESSOA",ESTADOS,58030080,,-7.11564405,-34.85214415,ativo,ativo,ativo,ativo,com acessibilidade,330,0
2022,1,PB,2507507,20516,64,131,principal,1333,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL PADRE MIGUELINHO,convencional,"AV. DA FRATERNIDADE, S/N",CRISTO REDENTOR,58070310,8332237623,-7.1549563,-34.88418296,ativo,ativo,ativo,ativo,com acessibilidade,398,396
2022,1,PB,2507507,20516,1,34,principal,1139,COLÉGIO PIO X,convencional,PRAÇA DA INDEPENDENCIA 150 - TAMBIÁ - JOÃO PESSOA,TAMBIÁ,58013490,,-7.11914794,-34.87219539,ativo,ativo,ativo,ativo,sem acessibilidade,396,401
2022,2,PB,2507507,20516,64,167,principal,1414,ESCOLA MUNICIPAL ANIBAL MOURA,convencional,"RUA SAO SALVADOR, 25",CRUZ DAS ARMAS,58085100,8332156132,-7.13689265,-34.88963885,ativo,ativo,ativo,ativo,com acessibilidade,315,317
2022,2,PB,2507507,20516,70,515,principal,1449,ESCOLA MUNICIPAL CARLOS NEVES DA FRANCA,convencional,RUA LEILA DINIZ 244,JOSE AMERICO DE ALMEIDA,00000000,,-7.16724626,-34.85423983,ativo,ativo,ativo,ativo,sem acessibilidade,394,396
2022,1,PB,2507507,20516,76,232,principal,1759,COLIBRI ENSINO FUNDAMENTAL EM FRENTE AO GINASIO,convencional,"RUA VIGOLVINO FLORENTINO DA COSTA, 723 MANAIRA",MANAIRA,58000000,,-7.104526,-34.84020328,ativo,ativo,ativo,ativo,com acessibilidade,389,384
2022,1,PB,2507507,20516,64,473,principal,1333,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL PADRE MIGUELINHO,convencional,"AV. DA FRATERNIDADE, S/N",CRISTO REDENTOR,58070310,8332237623,-7.1549563,-34.88418296,ativo,ativo,ativo,ativo,sem acessibilidade,134,136
2022,1,PB,2507507,20516,1,54,principal,1198,ESC MUNICIPAL FREI AFONSO,temporario,RUA CORDEIRO SENIOR 250 - ROGER,ROGER,58020020,,-7.11003206,-34.8839959,bloqueado,ativo,ativo,ativo,sem acessibilidade,383,383
2022,2,PB,2507507,20516,1,60,principal,1210,ESC. ESTADUAL PROF RAUL CORDULA,convencional,RUA FRANCISCO MARTINS DE OLIVEIRA S/N - TORRE - JOÃO PESSOA,TORRE,58040810,,-7.13090942,-34.85802026,ativo,ativo,ativo,ativo,com acessibilidade,390,399
2022,1,PB,2507507,20516,1,84,principal,1252,ESC MUNICIPAL CÔNEGO MATIAS FREIRE,convencional,RUA GEMINIANO DA FRANCA 654 - TORRE - JOÃO PESSOA,TORRE,58040560,,-7.12904515,-34.8605635,ativo,ativo,ativo,ativo,com acessibilidade,391,399
2022,1,PB,2507507,20516,76,218,principal,1589,COLEGIO COLIBRI-ATHENAS - ESQUINA COM RUA SÃO GONÇALO,convencional,"R.SÃO GONÇALO 952, ESQUINA COM RUA VIGOLVINO FLORENTINO DA COSTA",MANAIRA,58038331,32475950,-7.1052485,-34.83988378,ativo,ativo,ativo,ativo,com acessibilidade,388,397
2022,2,PB,2507507,20516,77,15,principal,1031,ESCOLA EST DE 1 GRAU HENRIQUE DIAS,convencional,R CARLOS BORROMEU RIBEIRO S/N,ALTO DO MATEUS,58071060,83988637315,-7.1427803,-34.91338058,ativo,ativo,ativo,ativo,sem acessibilidade,348,405
